127.0.0.1 - - [18/Jun/2017:11:01:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/ HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:08 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:09 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:09 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:11 +0530] "GET /project1/login HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:11 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:12 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:12 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "POST /project1/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/homePage HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
